"drug","event","N_ij","PRR","chi_square","signal_flag","rank_disp","EBGM","EB05","EB95","gps_signal_flag","rank_gps","median_onset_days","weibull_shape","p_early_clustering","early_onset_pattern","rank_tto","borda_score","is_ground_truth","consensus_flag"
"Omeprazole","Rash",246,1.437,30.893,FALSE,63,1.388,1.245,1.533,FALSE,63,85,1.285,1,FALSE,65,532,FALSE,FALSE
"Lisinopril","Acute kidney injury",342,1.432,43.244,FALSE,64,1.386,1.263,1.514,FALSE,64,87,1.377,1,FALSE,65,530,FALSE,FALSE
"Lisinopril","Gastrointestinal haemorrhage",290,1.431,35.942,FALSE,65,1.384,1.254,1.515,FALSE,65,82.5,1.305,1,FALSE,65,528,FALSE,FALSE
"Sitagliptin","Hyperkalemia",298,1.423,35.958,FALSE,66,1.378,1.253,1.515,FALSE,66,96.5,1.455,1,FALSE,65,526,FALSE,FALSE
"Warfarin","Diarrhoea",292,1.418,34.363,FALSE,67,1.372,1.247,1.508,FALSE,67,92,1.444,1,FALSE,65,524,FALSE,FALSE
"Atorvastatin","QT prolongation",253,1.403,27.71,FALSE,68,1.358,1.219,1.501,FALSE,68,96,1.342,1,FALSE,65,522,FALSE,FALSE
"Omeprazole","Gastrointestinal haemorrhage",278,1.395,29.829,FALSE,69,1.353,1.221,1.486,FALSE,69,91,1.407,1,FALSE,65,520,FALSE,FALSE
"Levothyroxine","Lactic acidosis",344,1.388,36.576,FALSE,70,1.349,1.232,1.473,FALSE,70,96,1.351,1,FALSE,65,518,FALSE,FALSE
"Losartan","Rhabdomyolysis",285,1.35,24.898,FALSE,71,1.314,1.191,1.44,FALSE,71,95,1.285,1,FALSE,65,516,FALSE,FALSE
"Empagliflozin","Peripheral oedema",247,1.345,20.752,FALSE,72,1.308,1.177,1.451,FALSE,72,94,1.546,1,FALSE,65,514,FALSE,FALSE
"Atorvastatin","Hypoglycemia",236,1.337,18.937,FALSE,73,1.301,1.171,1.445,FALSE,73,82,1.383,1,FALSE,65,512,FALSE,FALSE
"Sertraline","Rhabdomyolysis",271,1.332,21.608,FALSE,74,1.299,1.178,1.43,FALSE,74,83,1.456,1,FALSE,65,510,FALSE,FALSE
"Levothyroxine","QT prolongation",225,1.306,15.378,FALSE,75,1.275,1.137,1.415,FALSE,76,93,1.322,1,FALSE,65,507,FALSE,FALSE
"Sertraline","Acute kidney injury",301,1.305,20.985,FALSE,76,1.276,1.161,1.402,FALSE,75,93,1.456,1,FALSE,65,507,FALSE,FALSE
"Omeprazole","Lactic acidosis",330,1.297,22.074,FALSE,77,1.269,1.159,1.383,FALSE,77,93,1.392,1,FALSE,65,504,FALSE,FALSE
"Warfarin","Myopathy",312,1.29,19.702,FALSE,78,1.261,1.146,1.38,FALSE,78,91,1.471,1,FALSE,65,502,FALSE,FALSE
"Lisinopril","Angioedema",281,1.285,17.173,FALSE,79,1.257,1.135,1.383,FALSE,79,95,1.446,1,FALSE,65,500,FALSE,FALSE
"Ibuprofen","Headache",266,1.27,14.596,FALSE,80,1.242,1.123,1.37,FALSE,80,88,1.411,1,FALSE,65,498,FALSE,FALSE
"Rosuvastatin","Lactic acidosis",330,1.267,18.166,FALSE,81,1.241,1.132,1.355,FALSE,81,93,1.458,1,FALSE,65,496,FALSE,FALSE
"Glipizide","Rhabdomyolysis",265,1.264,14.052,FALSE,82,1.238,1.115,1.364,FALSE,82,84,1.39,1,FALSE,65,494,FALSE,FALSE
"Rosuvastatin","Hypoglycemia",222,1.264,11.606,FALSE,82,1.237,1.103,1.381,FALSE,83,95.5,1.392,1,FALSE,65,493,FALSE,FALSE
"Glipizide","Rash",217,1.25,10.247,FALSE,84,1.224,1.091,1.357,FALSE,84,85,1.355,1,FALSE,65,490,FALSE,FALSE
"Losartan","Dizziness",225,1.235,9.512,FALSE,85,1.211,1.082,1.343,FALSE,85,95,1.362,1,FALSE,65,488,FALSE,FALSE
"Losartan","Diarrhoea",250,1.228,10.174,FALSE,86,1.206,1.084,1.33,FALSE,86,92,1.454,1,FALSE,65,486,FALSE,FALSE
"Amlodipine","Myopathy",292,1.219,11.189,FALSE,87,1.198,1.086,1.313,FALSE,87,94.5,1.48,1,FALSE,65,484,FALSE,FALSE
"Empagliflozin","QT prolongation",221,1.219,8.246,FALSE,87,1.197,1.071,1.333,FALSE,88,110,1.506,1,FALSE,65,483,FALSE,FALSE
"Rosuvastatin","Hyperkalemia",257,1.191,7.557,FALSE,89,1.173,1.055,1.293,FALSE,89,95,1.46,1,FALSE,65,480,FALSE,FALSE
"Losartan","Acute kidney injury",286,1.185,8.016,FALSE,90,1.168,1.057,1.282,FALSE,90,88,1.442,1,FALSE,65,478,FALSE,FALSE
"Metformin","Hyperkalemia",254,1.164,5.642,FALSE,91,1.149,1.028,1.269,FALSE,91,89,1.423,1,FALSE,65,476,FALSE,FALSE
"Sertraline","Gastrointestinal haemorrhage",229,1.159,4.786,FALSE,92,1.145,1.024,1.272,FALSE,92,83,1.44,1,FALSE,65,474,FALSE,FALSE
"Ibuprofen","Peripheral oedema",218,1.154,4.208,FALSE,93,1.139,1.011,1.267,FALSE,93,93.5,1.309,1,FALSE,65,472,FALSE,FALSE
"Rosuvastatin","Acute kidney injury",281,1.153,5.511,FALSE,94,1.139,1.032,1.246,FALSE,93,85,1.308,1,FALSE,65,471,FALSE,FALSE
"Amlodipine","QT prolongation",209,1.149,3.811,FALSE,95,1.135,1.01,1.265,FALSE,95,88,1.316,1,FALSE,65,468,FALSE,FALSE
"Rosuvastatin","Headache",237,1.143,4.044,FALSE,96,1.13,1.011,1.256,FALSE,96,106,1.487,1,FALSE,65,466,FALSE,FALSE
"Warfarin","Hepatic failure",206,1.142,3.394,FALSE,97,1.128,1.002,1.257,FALSE,97,87,1.328,1,FALSE,65,464,FALSE,FALSE
"Lisinopril","Rash",198,1.11,2.002,FALSE,98,1.099,0.975,1.232,FALSE,98,88,1.312,1,FALSE,65,462,FALSE,FALSE
"Atorvastatin","Peripheral oedema",206,1.096,1.587,FALSE,99,1.086,0.966,1.211,FALSE,99,84,1.462,1,FALSE,65,460,FALSE,FALSE
"Apixaban","Myopathy",264,1.094,2.044,FALSE,100,1.086,0.981,1.198,FALSE,99,97,1.382,1,FALSE,65,459,FALSE,FALSE
"Lisinopril","Hepatic failure",194,1.092,1.392,FALSE,101,1.084,0.956,1.21,FALSE,101,97,1.494,1,FALSE,65,456,FALSE,FALSE
"Ibuprofen","Myopathy",268,1.091,1.917,FALSE,102,1.082,0.976,1.192,FALSE,102,91,1.421,1,FALSE,65,454,FALSE,FALSE
"Metformin","Dizziness",204,1.09,1.399,FALSE,103,1.081,0.961,1.21,FALSE,103,95,1.463,1,FALSE,65,452,FALSE,FALSE
"Apixaban","Gastrointestinal haemorrhage",221,1.061,0.697,FALSE,104,1.055,0.94,1.176,FALSE,104,87,1.513,1,FALSE,65,450,FALSE,FALSE
"Rosuvastatin","QT prolongation",192,1.051,0.413,FALSE,105,1.046,0.926,1.173,FALSE,105,89.5,1.461,1,FALSE,65,448,FALSE,FALSE
"Lisinopril","Nausea",226,1.038,0.268,FALSE,106,1.034,0.923,1.147,FALSE,106,100.5,1.47,1,FALSE,65,446,FALSE,FALSE
"Empagliflozin","Nausea",227,1.036,0.249,FALSE,107,1.033,0.921,1.145,FALSE,107,97,1.458,1,FALSE,65,444,FALSE,FALSE
"Empagliflozin","Myopathy",251,1.034,0.242,FALSE,108,1.031,0.927,1.137,FALSE,108,93,1.369,1,FALSE,65,442,FALSE,FALSE
"Omeprazole","Hepatic failure",180,1.03,0.122,FALSE,109,1.027,0.907,1.155,FALSE,109,86.5,1.377,1,FALSE,65,440,FALSE,FALSE
"Empagliflozin","Angioedema",229,1.024,0.102,FALSE,110,1.021,0.914,1.13,FALSE,110,93,1.378,1,FALSE,65,438,FALSE,FALSE
"Levothyroxine","Peripheral oedema",183,1.021,0.06,FALSE,111,1.019,0.9,1.144,FALSE,111,103,1.389,1,FALSE,65,436,FALSE,FALSE
"Apixaban","Lactic acidosis",268,1.01,0.019,FALSE,112,1.009,0.907,1.111,FALSE,112,86.5,1.379,1,FALSE,65,434,FALSE,FALSE
"Metformin","Headache",213,1.009,0.009,FALSE,113,1.008,0.897,1.124,FALSE,113,91,1.466,1,FALSE,65,432,FALSE,FALSE
"Levothyroxine","Hyperkalemia",207,0.988,0.019,FALSE,114,0.988,0.877,1.103,FALSE,114,99,1.358,1,FALSE,65,430,FALSE,FALSE
"Ibuprofen","Hyperkalemia",219,0.982,0.056,FALSE,115,0.983,0.877,1.094,FALSE,115,85,1.334,1,FALSE,65,428,FALSE,FALSE
"Warfarin","Rash",179,0.976,0.083,FALSE,116,0.977,0.861,1.101,FALSE,116,97,1.502,1,FALSE,65,426,FALSE,FALSE
"Empagliflozin","Hypoglycemia",173,0.962,0.212,FALSE,117,0.965,0.849,1.085,FALSE,117,92,1.387,1,FALSE,65,424,FALSE,FALSE
"Amlodipine","Hyperkalemia",210,0.956,0.373,FALSE,118,0.959,0.854,1.07,FALSE,118,90.5,1.551,1,FALSE,65,422,FALSE,FALSE
"Apixaban","Dizziness",178,0.95,0.41,FALSE,119,0.954,0.84,1.074,FALSE,119,89,1.451,1,FALSE,65,420,FALSE,FALSE
"Omeprazole","Hypoglycemia",165,0.94,0.554,FALSE,120,0.945,0.828,1.07,FALSE,120,103,1.369,1,FALSE,65,418,FALSE,FALSE
"Amlodipine","Headache",188,0.89,2.443,FALSE,128,0.898,0.794,1.011,FALSE,128,81,1.271,0.9999,FALSE,50,417,FALSE,FALSE
"Sitagliptin","Acute kidney injury",229,0.94,0.815,FALSE,120,0.944,0.847,1.049,FALSE,121,103,1.524,1,FALSE,65,417,FALSE,FALSE
"Ibuprofen","QT prolongation",175,0.932,0.787,FALSE,122,0.937,0.825,1.058,FALSE,122,104,1.499,1,FALSE,65,414,FALSE,FALSE
"Metformin","Acute kidney injury",232,0.929,1.196,FALSE,123,0.934,0.837,1.037,FALSE,123,82,1.305,1,FALSE,65,412,FALSE,FALSE
"Omeprazole","Angioedema",203,0.925,1.163,FALSE,124,0.93,0.828,1.036,FALSE,124,94,1.352,1,FALSE,65,410,FALSE,FALSE
"Lisinopril","Lactic acidosis",243,0.913,1.946,FALSE,125,0.919,0.823,1.017,FALSE,125,95,1.34,1,FALSE,65,408,FALSE,FALSE
"Warfarin","Nausea",203,0.906,1.882,FALSE,126,0.913,0.811,1.016,FALSE,126,95,1.333,1,FALSE,65,406,FALSE,FALSE
"Sitagliptin","Dizziness",167,0.903,1.633,FALSE,127,0.91,0.799,1.025,FALSE,127,89,1.385,1,FALSE,65,404,FALSE,FALSE
"Losartan","Gastrointestinal haemorrhage",175,0.834,5.606,FALSE,135,0.846,0.744,0.954,FALSE,135,85,1.269,0.9999,FALSE,50,403,FALSE,FALSE
"Atorvastatin","Dizziness",169,0.89,2.175,FALSE,128,0.898,0.788,1.017,FALSE,128,101,1.459,1,FALSE,65,402,FALSE,FALSE
"Atorvastatin","Gastrointestinal haemorrhage",189,0.888,2.551,FALSE,130,0.896,0.79,1.004,FALSE,130,93,1.358,1,FALSE,65,398,FALSE,FALSE
"Metformin","Rash",122,0.656,21.909,FALSE,156,0.677,0.583,0.777,FALSE,155,84.5,1.221,0.9942,FALSE,15,397,FALSE,FALSE
"Levothyroxine","Acute kidney injury",205,0.861,4.518,FALSE,131,0.871,0.776,0.972,FALSE,131,88,1.586,1,FALSE,65,396,FALSE,FALSE
"Apixaban","Diarrhoea",179,0.85,4.581,FALSE,132,0.861,0.759,0.967,FALSE,132,101,1.502,1,FALSE,65,394,FALSE,FALSE
"Lisinopril","Hypoglycemia",153,0.85,3.898,FALSE,132,0.86,0.75,0.973,FALSE,133,115,1.483,1,FALSE,65,393,FALSE,FALSE
"Metformin","Angioedema",192,0.843,5.51,FALSE,134,0.854,0.757,0.955,FALSE,134,93.5,1.462,1,FALSE,65,390,FALSE,FALSE
"Atorvastatin","Lactic acidosis",225,0.83,7.828,FALSE,136,0.842,0.755,0.933,FALSE,136,90,1.416,1,FALSE,65,386,FALSE,FALSE
"Sertraline","Rash",123,0.702,15.412,FALSE,150,0.721,0.62,0.83,FALSE,150,87,1.304,0.9996,FALSE,37,386,FALSE,FALSE
"Metformin","Gastrointestinal haemorrhage",175,0.819,6.816,FALSE,137,0.832,0.728,0.935,FALSE,137,89,1.368,1,FALSE,65,384,FALSE,FALSE
"Ibuprofen","Acute kidney injury",208,0.818,8.345,FALSE,138,0.831,0.738,0.928,FALSE,138,86.5,1.43,1,FALSE,65,382,FALSE,FALSE
"Glipizide","Nausea",177,0.815,7.312,FALSE,139,0.828,0.73,0.932,FALSE,139,97,1.558,1,FALSE,65,380,FALSE,FALSE
"Sitagliptin","Gastrointestinal haemorrhage",152,0.725,15.817,FALSE,147,0.742,0.645,0.843,FALSE,147,84.5,1.313,0.9999,FALSE,50,379,FALSE,FALSE
"Rosuvastatin","Peripheral oedema",152,0.801,7.336,FALSE,140,0.815,0.712,0.923,FALSE,140,93,1.478,1,FALSE,65,378,FALSE,FALSE
"Metformin","Nausea",178,0.795,9.341,FALSE,141,0.808,0.71,0.912,FALSE,141,95.5,1.456,1,FALSE,65,376,FALSE,FALSE
"Omeprazole","Nausea",172,0.793,9.235,FALSE,142,0.806,0.71,0.908,FALSE,142,102,1.404,1,FALSE,65,374,FALSE,FALSE
"Empagliflozin","Hepatic failure",139,0.761,10.182,FALSE,143,0.777,0.672,0.887,FALSE,143,99,1.475,1,FALSE,65,372,FALSE,FALSE
"Amlodipine","Hypoglycemia",138,0.758,10.386,FALSE,144,0.775,0.672,0.883,FALSE,144,105.5,1.552,1,FALSE,65,370,FALSE,FALSE
"Sertraline","Diarrhoea",153,0.758,11.75,FALSE,144,0.773,0.675,0.877,FALSE,145,92,1.395,1,FALSE,65,369,FALSE,FALSE
"Sitagliptin","Myopathy",166,0.68,25.352,FALSE,152,0.699,0.615,0.79,FALSE,152,91.5,1.305,0.9999,FALSE,50,369,FALSE,FALSE
"Losartan","Peripheral oedema",111,0.581,33.739,FALSE,162,0.604,0.516,0.705,FALSE,162,94,1.315,0.9993,FALSE,31,368,FALSE,FALSE
"Sitagliptin","Peripheral oedema",140,0.746,11.898,FALSE,146,0.763,0.659,0.876,FALSE,146,94,1.587,1,FALSE,65,366,FALSE,FALSE
"Levothyroxine","Headache",148,0.725,15.367,FALSE,147,0.742,0.643,0.846,FALSE,147,108.5,1.551,1,FALSE,65,364,FALSE,FALSE
"Sitagliptin","Hypoglycemia",95,0.523,41.673,FALSE,173,0.548,0.458,0.641,FALSE,173,80,1.228,0.9898,FALSE,13,364,FALSE,FALSE
"Warfarin","Angioedema",164,0.708,19.842,FALSE,149,0.726,0.636,0.822,FALSE,149,102,1.445,1,FALSE,65,360,FALSE,FALSE
"Apixaban","Rhabdomyolysis",153,0.688,21.802,FALSE,151,0.707,0.617,0.803,FALSE,151,100,1.341,1,FALSE,65,356,FALSE,FALSE
"Amlodipine","Rash",96,0.515,44.231,FALSE,176,0.541,0.451,0.633,FALSE,175,91.5,1.294,0.9974,FALSE,19,353,FALSE,FALSE
"Glipizide","Gastrointestinal haemorrhage",142,0.679,21.66,FALSE,153,0.698,0.606,0.797,FALSE,153,99.5,1.557,1,FALSE,65,352,FALSE,FALSE
"Ibuprofen","Hypoglycemia",123,0.659,21.42,FALSE,154,0.681,0.585,0.784,FALSE,154,98,1.476,1,FALSE,65,350,FALSE,FALSE
"Amlodipine","Acute kidney injury",166,0.657,30.16,FALSE,155,0.677,0.594,0.763,FALSE,155,102,1.467,1,FALSE,65,348,FALSE,FALSE
"Levothyroxine","Myopathy",153,0.643,30.834,FALSE,157,0.663,0.578,0.754,FALSE,157,84,1.376,1,FALSE,65,344,FALSE,FALSE
"Empagliflozin","Headache",137,0.636,28.606,FALSE,158,0.658,0.567,0.753,FALSE,158,103,1.607,1,FALSE,65,342,FALSE,FALSE
"Empagliflozin","Hyperkalemia",112,0.493,59.621,FALSE,179,0.518,0.44,0.598,FALSE,179,90.5,1.275,0.9983,FALSE,24,341,FALSE,FALSE
"Amlodipine","Hepatic failure",111,0.602,29.121,FALSE,159,0.626,0.532,0.724,FALSE,159,90,1.41,1,FALSE,65,340,FALSE,FALSE
"Ibuprofen","Dizziness",104,0.529,43.862,FALSE,172,0.555,0.471,0.647,FALSE,172,102.5,1.385,0.9997,FALSE,40,339,FALSE,FALSE
"Glipizide","Angioedema",134,0.596,37.279,FALSE,160,0.618,0.536,0.705,FALSE,160,94,1.369,1,FALSE,65,338,FALSE,FALSE
"Sertraline","Lactic acidosis",155,0.596,43.7,FALSE,160,0.617,0.536,0.7,FALSE,161,100,1.334,1,FALSE,65,337,FALSE,FALSE
"Lisinopril","Diarrhoea",106,0.493,56.36,FALSE,179,0.518,0.44,0.601,FALSE,179,78.5,1.308,0.9993,FALSE,31,334,FALSE,FALSE
"Sitagliptin","Hepatic failure",92,0.504,45.166,FALSE,178,0.53,0.444,0.62,FALSE,178,99,1.379,0.9995,FALSE,34,333,FALSE,FALSE
"Atorvastatin","Diarrhoea",125,0.577,39.174,FALSE,163,0.6,0.514,0.69,FALSE,163,96,1.378,1,FALSE,65,332,FALSE,FALSE
"Sitagliptin","QT prolongation",107,0.576,33.511,FALSE,164,0.6,0.512,0.697,FALSE,163,94,1.738,1,FALSE,65,331,FALSE,FALSE
"Empagliflozin","Rash",107,0.575,33.597,FALSE,165,0.599,0.509,0.696,FALSE,165,117,1.628,1,FALSE,65,328,FALSE,FALSE
"Losartan","Myopathy",140,0.565,48.155,FALSE,166,0.587,0.507,0.668,FALSE,166,98.5,1.374,1,FALSE,65,326,FALSE,FALSE
"Sertraline","Hepatic failure",83,0.469,50.524,FALSE,186,0.495,0.41,0.587,FALSE,186,103,1.344,0.9985,FALSE,25,326,FALSE,FALSE
