Reporter_ID,Reporter_Type,Hospital,Country,Reporting_Date
R00150,Nurse,National Care Hospital,United Kingdom,2024-07-02
R00151,Pharmacist,St. Mary's Medical Center,Brazil,2022-01-22
R00152,Physician,City General Hospital,Germany,26/12/2019
R00153,Physician,Metro Health Clinic,South Africa,2024-11-13
R00154,Physician,City General Hospital,India,2019-10-04
R00155,Physician,Central Regional Hospital,Canada,13/06/2020
R00156,Lawyer,Sunrise Medical Institute,India,2022-06-05
R00157,Other Health Professional,National Care Hospital,India,2022-07-07
R00158,Pharmacist,Sunrise Medical Institute,United States,2022-01-27
R00159,Pharmacist,Metro Health Clinic,Brazil,2021-02-01
R00160,Patient,Central Regional Hospital,United States,2020-09-23
R00161,Lawyer,National Care Hospital,United States,2024-09-15
R00162,Lawyer,Metro Health Clinic,Canada,2021-01-09
R00163,Patient,Central Regional Hospital,Japan,2022-01-07
R00164,Pharmacist,Central Regional Hospital,Japan,2020-11-01
R00165,Pharmacist,National Care Hospital,South Africa,06/03/2024
R00166,Lawyer,Metro Health Clinic,France,2020-03-18
R00167,Lawyer,St. Mary's Medical Center,United States,2023-07-20
R00168,Pharmacist,Sunrise Medical Institute,Canada,2024-06-04
R00169,Pharmacist,Central Regional Hospital,India,02/09/2020
R00170,Physician,Sunrise Medical Institute,France,2024-11-13
R00171,Nurse,Central Regional Hospital,Japan,2021-09-13
R00172,Patient,Metro Health Clinic,United States,2022-12-06
R00173,Lawyer,City General Hospital,United Kingdom,2020-12-07
R00174,Nurse,National Care Hospital,South Africa,2024-10-04
R00175,Pharmacist,Sunrise Medical Institute,Japan,16/08/2024
R00176,Pharmacist,National Care Hospital,Australia,14/02/2022
R00177,Pharmacist,Central Regional Hospital,France,2021-03-30
R00178,Nurse,City General Hospital,Japan,2022-02-04
R00179,Nurse,Metro Health Clinic,Canada,2024-02-19
R00180,Pharmacist,National Care Hospital,South Africa,29/08/2022
R00181,Lawyer,City General Hospital,France,2020-11-13
R00182,Pharmacist,St. Mary's Medical Center,Australia,2019-03-28
R00183,Lawyer,City General Hospital,United States,23/08/2020
R00184,Other Health Professional,City General Hospital,France,2020-12-06
R00185,Other Health Professional,St. Mary's Medical Center,Japan,2024-05-27
R00186,Nurse,St. Mary's Medical Center,United States,2023-09-25
R00187,Pharmacist,City General Hospital,Germany,26/08/2020
R00188,Patient,Sunrise Medical Institute,United States,2024-10-06
R00189,Nurse,Sunrise Medical Institute,United Kingdom,2021-04-18
R00190,Pharmacist,St. Mary's Medical Center,Germany,2020-12-15
R00191,Nurse,Metro Health Clinic,Germany,20/07/2024
R00192,Patient,City General Hospital,Australia,02/01/2022
R00193,Lawyer,Central Regional Hospital,India,2021-05-27
R00194,Other Health Professional,Central Regional Hospital,South Africa,2021-11-07
R00195,Lawyer,St. Mary's Medical Center,Germany,2022-01-15
R00196,Pharmacist,St. Mary's Medical Center,Germany,2021-05-29
R00197,Nurse,National Care Hospital,France,2024-08-18
R00198,Other Health Professional,National Care Hospital,India,2020-05-04
R00199,Physician,Sunrise Medical Institute,France,2019-07-05
R00200,Physician,St. Mary's Medical Center,United Kingdom,17/03/2021
R00201,Lawyer,Metro Health Clinic,Germany,2024-01-02
R00202,Nurse,Central Regional Hospital,Brazil,2019-11-27
R00203,Pharmacist,St. Mary's Medical Center,Canada,2022-05-21
R00204,Nurse,Sunrise Medical Institute,South Africa,2019-04-25
R00205,Nurse,St. Mary's Medical Center,Germany,2024-07-09
R00206,Patient,St. Mary's Medical Center,United States,2022-11-06
R00207,Other Health Professional,Metro Health Clinic,United States,2021-06-13
R00208,Patient,Metro Health Clinic,United Kingdom,2024-11-19
R00209,Physician,National Care Hospital,United States,2020-08-17
R00210,Patient,National Care Hospital,United Kingdom,06/10/2021
R00211,Patient,National Care Hospital,Brazil,2023-11-16
R00212,Other Health Professional,National Care Hospital,Canada,2024-09-10
R00213,Lawyer,Metro Health Clinic,Canada,2020-01-19
R00214,Nurse,St. Mary's Medical Center,Australia,2021-08-17
R00215,Other Health Professional,City General Hospital,Germany,2021-05-17
R00216,Lawyer,Sunrise Medical Institute,Japan,2021-10-07
R00217,Other Health Professional,Central Regional Hospital,Japan,2019-08-18
R00218,Physician,Sunrise Medical Institute,Germany,2024-02-22
R00219,Other Health Professional,City General Hospital,Germany,2024-03-12
R00220,Lawyer,National Care Hospital,Germany,2019-06-29
R00221,Other Health Professional,Sunrise Medical Institute,Brazil,2022-02-20
R00222,Lawyer,St. Mary's Medical Center,Canada,2020-10-10
R00223,Patient,Central Regional Hospital,United Kingdom,2022-09-04
R00224,Physician,National Care Hospital,United States,2024-01-04
R00225,Nurse,Central Regional Hospital,Brazil,18/09/2019
R00226,Patient,National Care Hospital,Japan,2022-09-25
R00227,Physician,City General Hospital,France,2024-05-19
R00228,Nurse,Metro Health Clinic,South Africa,2024-01-31
R00229,Physician,Central Regional Hospital,Canada,2024-09-12
R00230,Patient,Central Regional Hospital,Canada,2020-05-24
R00231,Lawyer,Central Regional Hospital,Australia,2024-10-28
R00232,Pharmacist,Metro Health Clinic,South Africa,2019-08-03
R00233,Lawyer,Central Regional Hospital,United States,2020-07-09
R00234,Pharmacist,Metro Health Clinic,India,2019-02-09
R00235,Physician,Metro Health Clinic,Brazil,2024-12-24
R00236,Pharmacist,Sunrise Medical Institute,United Kingdom,2019-03-16
R00237,Pharmacist,Sunrise Medical Institute,United States,2019-08-13
R00238,Nurse,St. Mary's Medical Center,India,2021-02-18
R00239,Pharmacist,City General Hospital,Germany,2021-10-18
R00240,Physician,Metro Health Clinic,Australia,2023-02-21
R00241,Lawyer,Sunrise Medical Institute,India,2024-10-09
R00242,Other Health Professional,Sunrise Medical Institute,Canada,2024-08-04
R00243,Pharmacist,Central Regional Hospital,South Africa,24/07/2021
R00244,Patient,Sunrise Medical Institute,United States,2020-06-29
R00245,Pharmacist,Central Regional Hospital,South Africa,2020-08-09
R00246,Other Health Professional,City General Hospital,United States,2023-06-11
R00247,Nurse,National Care Hospital,Canada,2023-09-15
R00248,Physician,St. Mary's Medical Center,Australia,2023-08-26
R00249,Other Health Professional,City General Hospital,South Africa,2019-09-18
R00250,Patient,City General Hospital,Canada,2021-11-20
R00251,Other Health Professional,Central Regional Hospital,France,2023-04-05
R00252,Nurse,Sunrise Medical Institute,India,2021-11-16
R00253,Physician,City General Hospital,India,2020-05-06
R00254,Pharmacist,National Care Hospital,Germany,2022-11-06
R00255,Patient,St. Mary's Medical Center,United States,2022-08-15
R00256,Lawyer,City General Hospital,Australia,2020-02-24
R00257,Other Health Professional,Metro Health Clinic,Germany,17/07/2024
R00258,Pharmacist,Central Regional Hospital,Canada,07/07/2021
R00259,Nurse,St. Mary's Medical Center,India,2021-01-06
R00260,Pharmacist,National Care Hospital,Germany,2022-11-09
R00261,Physician,Central Regional Hospital,Japan,15/09/2021
R00262,Lawyer,National Care Hospital,France,2021-06-26
R00263,Patient,National Care Hospital,Canada,2021-08-15
R00264,Patient,St. Mary's Medical Center,Canada,2023-02-05
R00265,Lawyer,Sunrise Medical Institute,Australia,2023-12-11
R00266,Nurse,St. Mary's Medical Center,Japan,2022-01-31
R00267,Nurse,Central Regional Hospital,Canada,2023-06-03
R00268,Physician,Sunrise Medical Institute,France,2022-03-19
R00269,Lawyer,Sunrise Medical Institute,France,2021-08-09
R00270,Patient,Central Regional Hospital,Japan,2024-08-26
R00271,Other Health Professional,St. Mary's Medical Center,South Africa,2023-06-29
R00272,Patient,St. Mary's Medical Center,France,2020-01-18
R00273,Other Health Professional,City General Hospital,Australia,2019-03-21
R00274,Physician,City General Hospital,United States,21/09/2019
R00275,Patient,Sunrise Medical Institute,United Kingdom,2024-05-28
R00276,Other Health Professional,St. Mary's Medical Center,France,2020-04-23
R00277,Nurse,City General Hospital,South Africa,2021-04-12
R00278,Physician,St. Mary's Medical Center,Germany,2024-06-08
R00279,Lawyer,Sunrise Medical Institute,India,2021-01-31
R00280,Lawyer,St. Mary's Medical Center,Germany,2021-03-25
R00281,Nurse,Central Regional Hospital,Japan,2024-04-28
R00282,Lawyer,Metro Health Clinic,Japan,2023-02-21
R00283,Pharmacist,National Care Hospital,Australia,2022-03-05
R00284,Pharmacist,Metro Health Clinic,Japan,2024-07-17
R00285,Lawyer,Central Regional Hospital,Canada,2023-11-29
R00286,Physician,National Care Hospital,France,2019-11-07
R00287,Other Health Professional,Central Regional Hospital,Japan,2023-05-07
R00288,Lawyer,National Care Hospital,India,2020-05-29
R00289,Other Health Professional,Sunrise Medical Institute,Germany,2021-06-14
R00290,Physician,Sunrise Medical Institute,Germany,2021-02-21
R00291,Other Health Professional,St. Mary's Medical Center,United States,2022-07-23
R00292,Patient,Sunrise Medical Institute,United States,2024-07-09
R00293,Physician,St. Mary's Medical Center,India,2019-10-14
R00294,Pharmacist,Metro Health Clinic,Australia,2020-10-22
R00295,Patient,City General Hospital,United States,2020-04-02
R00296,Patient,St. Mary's Medical Center,Germany,2020-12-09
R00297,Lawyer,City General Hospital,South Africa,2022-08-22
R00298,Patient,St. Mary's Medical Center,Australia,2021-03-29
R00299,Patient,Central Regional Hospital,Germany,2022-03-26
R00300,Other Health Professional,Metro Health Clinic,United States,2021-01-22
R00301,Nurse,Central Regional Hospital,Germany,2020-02-11
R00302,Pharmacist,St. Mary's Medical Center,United States,28/08/2019
R00303,Other Health Professional,Central Regional Hospital,India,2019-10-12
R00304,Other Health Professional,National Care Hospital,France,2020-09-20
R00305,Lawyer,National Care Hospital,Australia,2023-11-01
R00306,Physician,National Care Hospital,Germany,24/04/2021
R00307,Other Health Professional,St. Mary's Medical Center,Canada,27/12/2021
R00308,Patient,National Care Hospital,Australia,05/12/2022
R00309,Nurse,Central Regional Hospital,India,2021-11-22
R00310,Other Health Professional,City General Hospital,Australia,2023-04-09
R00311,Physician,Sunrise Medical Institute,Germany,2022-04-05
R00312,Nurse,Sunrise Medical Institute,France,2019-01-12
R00313,Other Health Professional,Metro Health Clinic,India,2022-12-05
R00314,Patient,Sunrise Medical Institute,Japan,10/12/2021
R00315,Other Health Professional,St. Mary's Medical Center,Japan,2022-11-22
R00316,Physician,City General Hospital,Canada,2019-08-12
R00317,Other Health Professional,National Care Hospital,South Africa,2023-01-29
R00318,Nurse,National Care Hospital,Brazil,2024-04-24
R00319,Pharmacist,Metro Health Clinic,South Africa,13/07/2019
R00320,Physician,Central Regional Hospital,Germany,2021-10-14
R00321,Pharmacist,Metro Health Clinic,Japan,2021-01-26
R00322,Other Health Professional,Metro Health Clinic,Brazil,2022-03-15
R00323,Physician,National Care Hospital,South Africa,2019-02-18
R00324,Nurse,Metro Health Clinic,France,2022-07-23
R00325,Pharmacist,St. Mary's Medical Center,South Africa,2024-04-06
R00326,Patient,Sunrise Medical Institute,United Kingdom,2023-03-17
R00327,Nurse,City General Hospital,France,2019-02-14
R00328,Patient,National Care Hospital,Germany,2021-04-05
R00329,Other Health Professional,Metro Health Clinic,United States,2023-07-15
R00330,Patient,Central Regional Hospital,Germany,2019-06-07
R00331,Lawyer,City General Hospital,Canada,2020-11-26
R00332,Physician,St. Mary's Medical Center,France,2023-05-18
R00333,Lawyer,Metro Health Clinic,Japan,2019-10-10
R00334,Lawyer,St. Mary's Medical Center,South Africa,24/10/2021
R00335,Other Health Professional,Metro Health Clinic,France,2019-11-24
R00336,Nurse,Central Regional Hospital,Australia,25/09/2022
R00337,Physician,Central Regional Hospital,Japan,2022-02-24
R00338,Other Health Professional,St. Mary's Medical Center,Brazil,2021-01-05
R00339,Pharmacist,St. Mary's Medical Center,South Africa,03/07/2023
R00340,Physician,City General Hospital,Canada,2021-08-16
R00341,Other Health Professional,Central Regional Hospital,France,2022-05-14
R00342,Pharmacist,Sunrise Medical Institute,United States,2021-02-14
R00343,Patient,City General Hospital,Canada,2022-12-05
R00344,Nurse,St. Mary's Medical Center,Brazil,2019-01-25
R00345,Other Health Professional,St. Mary's Medical Center,India,2020-03-05
R00346,Physician,City General Hospital,Australia,2023-11-28
R00347,Pharmacist,Central Regional Hospital,India,2021-12-12
R00348,Other Health Professional,National Care Hospital,India,2021-10-24
R00349,Physician,Sunrise Medical Institute,Australia,2021-01-05
R00350,Nurse,Sunrise Medical Institute,Brazil,2024-06-15
R00351,Other Health Professional,Sunrise Medical Institute,Canada,2021-03-07
R00352,Patient,Central Regional Hospital,France,2024-09-26
R00353,Other Health Professional,National Care Hospital,Brazil,2024-10-10
R00354,Other Health Professional,Sunrise Medical Institute,Australia,16/11/2019
R00355,Nurse,Central Regional Hospital,Canada,2023-12-30
R00356,Physician,National Care Hospital,Canada,2021-03-06
R00357,Nurse,Metro Health Clinic,Canada,2024-09-15
R00358,Lawyer,National Care Hospital,United States,2022-03-14
R00359,Lawyer,Metro Health Clinic,Brazil,14/06/2023
R00360,Nurse,Sunrise Medical Institute,Brazil,2024-09-09
R00361,Lawyer,St. Mary's Medical Center,Germany,2023-08-24
R00362,Nurse,City General Hospital,India,2024-03-25
R00363,Pharmacist,National Care Hospital,Canada,2022-08-10
R00364,Lawyer,Metro Health Clinic,France,2019-07-29
R00365,Other Health Professional,Sunrise Medical Institute,Australia,2020-10-24
R00366,Nurse,St. Mary's Medical Center,Canada,2019-11-29
R00367,Other Health Professional,Metro Health Clinic,Japan,04/09/2020
R00368,Physician,National Care Hospital,Japan,2023-06-19
R00369,Lawyer,National Care Hospital,Japan,03/08/2023
R00370,Pharmacist,National Care Hospital,Brazil,2021-04-03
R00371,Other Health Professional,St. Mary's Medical Center,Australia,2022-09-09
R00372,Pharmacist,St. Mary's Medical Center,India,2024-11-02
R00373,Lawyer,St. Mary's Medical Center,Brazil,2021-12-14
R00374,Other Health Professional,Central Regional Hospital,Germany,2022-03-15
R00375,Lawyer,St. Mary's Medical Center,United States,2024-08-16
R00376,Nurse,St. Mary's Medical Center,Japan,2023-06-02
R00377,Lawyer,City General Hospital,United States,2024-08-09
R00378,Other Health Professional,City General Hospital,United States,29/03/2019
R00379,Pharmacist,Central Regional Hospital,France,10/06/2019
R00380,Physician,National Care Hospital,Australia,2023-06-24
R00381,Other Health Professional,National Care Hospital,Japan,2019-02-23
R00382,Lawyer,Sunrise Medical Institute,India,2022-06-17
R00383,Pharmacist,National Care Hospital,Canada,2023-05-23
R00384,Pharmacist,Central Regional Hospital,South Africa,2023-08-23
R00385,Pharmacist,Metro Health Clinic,United States,2022-04-23
R00386,Other Health Professional,City General Hospital,Brazil,2019-12-15
R00387,Patient,Metro Health Clinic,South Africa,2021-04-04
R00388,Physician,Sunrise Medical Institute,Canada,2020-10-02
R00389,Physician,National Care Hospital,Germany,2023-06-07
R00390,Pharmacist,St. Mary's Medical Center,Australia,28/03/2022
R00391,Lawyer,City General Hospital,Canada,12/04/2019
R00392,Patient,Metro Health Clinic,Japan,02/07/2019
R00393,Pharmacist,Metro Health Clinic,Australia,12/06/2023
R00394,Physician,National Care Hospital,Brazil,2023-03-18
R00395,Pharmacist,City General Hospital,Germany,2019-02-09
R00396,Nurse,Central Regional Hospital,United Kingdom,2021-04-19
R00397,Patient,St. Mary's Medical Center,India,2022-01-22
R00398,Lawyer,City General Hospital,United Kingdom,2024-06-30
R00399,Nurse,City General Hospital,France,2024-01-28
R00400,Lawyer,National Care Hospital,France,2022-02-21
R00401,Other Health Professional,St. Mary's Medical Center,United Kingdom,2024-12-03
R00402,Pharmacist,Central Regional Hospital,Germany,2024-02-03
R00403,Physician,St. Mary's Medical Center,Australia,2023-12-29
R00404,Patient,St. Mary's Medical Center,Brazil,2022-04-02
R00405,Lawyer,Central Regional Hospital,United States,2023-02-09
R00406,Lawyer,Sunrise Medical Institute,South Africa,06/10/2019
R00407,Lawyer,Sunrise Medical Institute,South Africa,2019-11-28
R00408,Pharmacist,Metro Health Clinic,South Africa,26/11/2022
R00409,Physician,City General Hospital,South Africa,2023-02-05
R00410,Other Health Professional,Central Regional Hospital,Canada,2023-05-07
R00411,Other Health Professional,Metro Health Clinic,Japan,2019-08-26
R00412,Other Health Professional,Sunrise Medical Institute,India,2023-01-17
R00413,Physician,City General Hospital,Germany,2021-11-30
R00414,Pharmacist,Sunrise Medical Institute,Australia,2019-06-03
R00415,Patient,City General Hospital,United Kingdom,05/05/2024
R00416,Nurse,St. Mary's Medical Center,India,26/10/2023
R00417,Physician,City General Hospital,United States,2020-08-01
R00418,Patient,Sunrise Medical Institute,Canada,2022-03-18
R00419,Physician,City General Hospital,Australia,19/12/2022
R00420,Nurse,Metro Health Clinic,Germany,2022-03-10
R00421,Nurse,Central Regional Hospital,France,2022-11-22
R00422,Pharmacist,St. Mary's Medical Center,Germany,2024-10-19
R00423,Lawyer,Metro Health Clinic,Japan,2019-08-14
R00424,Patient,City General Hospital,United States,2022-03-06
R00425,Patient,National Care Hospital,United Kingdom,2022-11-23
R00426,Lawyer,Central Regional Hospital,France,2020-08-11
R00427,Physician,National Care Hospital,Japan,2019-05-15
R00428,Pharmacist,Central Regional Hospital,United Kingdom,2024-10-15
R00429,Lawyer,St. Mary's Medical Center,Australia,2022-10-01
R00430,Nurse,Central Regional Hospital,Germany,29/09/2022
R00431,Patient,City General Hospital,United States,2019-08-11
R00432,Lawyer,City General Hospital,Canada,2022-06-08
R00433,Pharmacist,St. Mary's Medical Center,Brazil,20/05/2023
R00434,Pharmacist,National Care Hospital,Japan,2022-11-05
R00435,Pharmacist,Central Regional Hospital,France,2021-06-03
R00436,Nurse,City General Hospital,France,2020-10-22
R00437,Pharmacist,National Care Hospital,United Kingdom,2021-05-02
R00438,Pharmacist,City General Hospital,India,2020-07-14
R00439,Patient,Metro Health Clinic,France,2021-12-01
R00440,Physician,St. Mary's Medical Center,Australia,2024-05-31
R00441,Nurse,Central Regional Hospital,Japan,2019-08-19
R00442,Lawyer,St. Mary's Medical Center,United States,2019-12-15
R00443,Physician,City General Hospital,India,2021-05-18
R00444,Nurse,St. Mary's Medical Center,United Kingdom,2019-03-22
R00445,Physician,Sunrise Medical Institute,Australia,2019-05-27
R00446,Other Health Professional,St. Mary's Medical Center,Japan,2019-08-07
R00447,Patient,Central Regional Hospital,United States,2019-06-18
R00448,Patient,National Care Hospital,Australia,2019-08-13
R00449,Patient,Metro Health Clinic,Brazil,2022-04-09
R00450,Pharmacist,St. Mary's Medical Center,Brazil,2024-11-05
R00451,Patient,National Care Hospital,Australia,2021-01-28
R00452,Nurse,Central Regional Hospital,France,2022-12-11
R00453,Pharmacist,Sunrise Medical Institute,Germany,2022-04-16
R00454,Physician,City General Hospital,South Africa,2024-07-17
R00455,Nurse,St. Mary's Medical Center,France,10/05/2021
